year,total,coal,natural_gas,ptroleum
1980,3.800705125,0.088556325,0.843744,2.680407222
1981,4.202460053,0.078430665,0.910845,2.943691055
1982,4.442515929,0.093431144,0.992036,3.101897385
1983,4.182657818,0.107056502,0.99414,2.8500952
1984,4.213411815,0.106333979,0.99803,2.848456623
1985,4.454182998,0.114127198,1.04049,3.007957802
1986,4.401694046,0.127087743,0.92488,3.104555664
1987,4.512681532,0.122640476,0.938543,3.218602161
1988,4.601354998,0.115233765,0.952816,3.271091156
1989,4.852170556,0.124553144,0.92505,3.496651758
1990,4.719908962,0.155669276,1.01898,3.222764638
1991,5.054867648,0.154718457,1.091857572,3.472428478
1992,5.106327825,0.150830423,1.100451774,3.46665569
1993,5.395544562,0.172028384,1.175401505,3.631873456
1994,5.747777513,0.203002135,1.223542384,3.981085897
1995,5.581042306,0.229257946,1.23199457,3.662284291
1996,5.711853359,0.244326634,1.303024335,3.678972257
1997,5.807442705,0.258889746,1.325354999,3.763416848
1998,6.226799707,0.274043075,1.512220154,4.004526312
1999,6.229809501,0.284145546,1.452299251,3.979230928
2000,6.492372663,0.281825851,1.545859387,4.149490469
2001,6.467992689,0.327335655,1.591412029,4.078241553
2002,6.480256461,0.367486334,1.791921805,3.883876389
2003,6.703769684,0.447298779,1.984741705,3.871577113
2004,6.872610565,0.383077359,2.032408762,4.016049126
2005,7.09255882,0.493076403,1.998115496,4.112805534
2006,7.393944933,0.527904012,2.25420986,4.110647872
2007,7.520369866,0.478096774,2.33925098,4.231634983
2008,7.606171984,0.422626189,2.401444297,4.219279439
2009,7.551381938,0.438326157,2.60386518,4.068107591
2010,7.528550031,0.539874291,2.349203019,4.134500305
2011,7.735704768,0.59265149,2.414286583,4.195109301
2012,7.699191969,0.527340007,2.510130826,4.168877508
2013,7.763657708,0.537472337,2.620203332,4.128185883
2014,7.657817362,0.516109708,2.550020102,4.010070968
2015,7.77702705,0.56117679,2.736557814,3.936013626
2016,7.952220967,0.499536498,2.844381592,4.049421792
2017,7.952177781,0.518771153,2.861173018,3.966391048
2018,7.99734733,0.488182081,2.911885193,3.940253708
2019,8.07171104,0.467793396,3.019190829,3.951288568
